
Exp 1
2019-11-01 02:13:29.143382
49 | Test | rrse: 0.1065 | corr: 0.8160 | approx epoch time: 0.88s
50 | Test | rrse: 0.0797 | corr: 0.8165 | approx epoch time: 0.97s
54 | Test | rrse: 0.0718 | corr: 0.8751 | approx epoch time: 1.01s
55 | Test | rrse: 0.0688 | corr: 0.8457 | approx epoch time: 0.90s
58 | Test | rrse: 0.0795 | corr: 0.8869 | approx epoch time: 1.10s
59 | Test | rrse: 0.0689 | corr: 0.8908 | approx epoch time: 1.07s
60 | Test | rrse: 0.0629 | corr: 0.8793 | approx epoch time: 1.09s
66 | Test | rrse: 0.0613 | corr: 0.8833 | approx epoch time: 1.01s
70 | Test | rrse: 0.0626 | corr: 0.8814 | approx epoch time: 0.99s
71 | Test | rrse: 0.0608 | corr: 0.8916 | approx epoch time: 1.05s
72 | Test | rrse: 0.0542 | corr: 0.8856 | approx epoch time: 1.07s
75 | Test | rrse: 0.0558 | corr: 0.9032 | approx epoch time: 0.99s
76 | Test | rrse: 0.0573 | corr: 0.8806 | approx epoch time: 0.99s
77 | Test | rrse: 0.0518 | corr: 0.8950 | approx epoch time: 1.00s
79 | Test | rrse: 0.0545 | corr: 0.9084 | approx epoch time: 1.05s
82 | Test | rrse: 0.0555 | corr: 0.9142 | approx epoch time: 1.04s
84 | Test | rrse: 0.0493 | corr: 0.9163 | approx epoch time: 0.98s
87 | Test | rrse: 0.0504 | corr: 0.9178 | approx epoch time: 0.97s
89 | Test | rrse: 0.0480 | corr: 0.9278 | approx epoch time: 1.03s
92 | Test | rrse: 0.0481 | corr: 0.9244 | approx epoch time: 1.16s
93 | Test | rrse: 0.0492 | corr: 0.9289 | approx epoch time: 1.06s
101 | Test | rrse: 0.0473 | corr: 0.9347 | approx epoch time: 1.02s
103 | Test | rrse: 0.0478 | corr: 0.9340 | approx epoch time: 0.94s
113 | Test | rrse: 0.0456 | corr: 0.9378 | approx epoch time: 1.05s
126 | Test | rrse: 0.0433 | corr: 0.9416 | approx epoch time: 0.92s
138 | Test | rrse: 0.0428 | corr: 0.9422 | approx epoch time: 1.11s
143 | Test | rrse: 0.0407 | corr: 0.9437 | approx epoch time: 1.05s
153 | Test | rrse: 0.0401 | corr: 0.9463 | approx epoch time: 1.05s
End of Exp 5
Average result | rrse: 0.0564 | corr: 0.8680
Best result | rrse: 0.0401 | corr: 0.9463

Exp 1
2019-11-07 19:11:28.720217
1 | Test | rrse: 0.4290 | corr: 0.4582 | approx epoch time: 6.11s
3 | Test | rrse: 0.4340 | corr: 0.5425 | approx epoch time: 1.05s
4 | Test | rrse: 0.4031 | corr: 0.5915 | approx epoch time: 1.10s
5 | Test | rrse: 0.3805 | corr: 0.6612 | approx epoch time: 1.08s
6 | Test | rrse: 0.3237 | corr: 0.7382 | approx epoch time: 1.13s
7 | Test | rrse: 0.2779 | corr: 0.8005 | approx epoch time: 1.07s
8 | Test | rrse: 0.2427 | corr: 0.8093 | approx epoch time: 0.98s
9 | Test | rrse: 0.1991 | corr: 0.7569 | approx epoch time: 1.06s
10 | Test | rrse: 0.1964 | corr: 0.7405 | approx epoch time: 0.97s
20 | Test | rrse: 0.1320 | corr: 0.7153 | approx epoch time: 1.09s
21 | Test | rrse: 0.1217 | corr: 0.6893 | approx epoch time: 1.07s
22 | Test | rrse: 0.1245 | corr: 0.7607 | approx epoch time: 1.00s
23 | Test | rrse: 0.1109 | corr: 0.7850 | approx epoch time: 0.96s
24 | Test | rrse: 0.0896 | corr: 0.8450 | approx epoch time: 1.03s
25 | Test | rrse: 0.0862 | corr: 0.8429 | approx epoch time: 1.02s
26 | Test | rrse: 0.0975 | corr: 0.7906 | approx epoch time: 1.01s
27 | Test | rrse: 0.0776 | corr: 0.8706 | approx epoch time: 1.03s
28 | Test | rrse: 0.0687 | corr: 0.8759 | approx epoch time: 1.08s
29 | Test | rrse: 0.0768 | corr: 0.8890 | approx epoch time: 1.04s
30 | Test | rrse: 0.0614 | corr: 0.8865 | approx epoch time: 0.98s
35 | Test | rrse: 0.0656 | corr: 0.9098 | approx epoch time: 0.97s

Exp 1
2019-11-09 18:46:46.474227
1 | Test | rrse: 0.4590 | corr: 0.6101 | approx epoch time: 4.78s
2 | Test | rrse: 0.3664 | corr: 0.6381 | approx epoch time: 1.06s
3 | Test | rrse: 0.3306 | corr: 0.6949 | approx epoch time: 1.00s
4 | Test | rrse: 0.2719 | corr: 0.7399 | approx epoch time: 1.05s
5 | Test | rrse: 0.2278 | corr: 0.8399 | approx epoch time: 1.01s
6 | Test | rrse: 0.1765 | corr: 0.8559 | approx epoch time: 0.94s
7 | Test | rrse: 0.1496 | corr: 0.8777 | approx epoch time: 1.05s
8 | Test | rrse: 0.1292 | corr: 0.8430 | approx epoch time: 0.98s
9 | Test | rrse: 0.1205 | corr: 0.8654 | approx epoch time: 0.95s
11 | Test | rrse: 0.1132 | corr: 0.8662 | approx epoch time: 0.91s
15 | Test | rrse: 0.0830 | corr: 0.9040 | approx epoch time: 1.02s
16 | Test | rrse: 0.0888 | corr: 0.8971 | approx epoch time: 1.00s
17 | Test | rrse: 0.0805 | corr: 0.9133 | approx epoch time: 0.95s
18 | Test | rrse: 0.0667 | corr: 0.9103 | approx epoch time: 1.03s
19 | Test | rrse: 0.0611 | corr: 0.9145 | approx epoch time: 1.05s
21 | Test | rrse: 0.0604 | corr: 0.9226 | approx epoch time: 0.98s
22 | Test | rrse: 0.0605 | corr: 0.9258 | approx epoch time: 1.05s
23 | Test | rrse: 0.0532 | corr: 0.9207 | approx epoch time: 0.98s
24 | Test | rrse: 0.0509 | corr: 0.9253 | approx epoch time: 0.96s
25 | Test | rrse: 0.0524 | corr: 0.9342 | approx epoch time: 1.14s
26 | Test | rrse: 0.0524 | corr: 0.9366 | approx epoch time: 1.01s
27 | Test | rrse: 0.0468 | corr: 0.9403 | approx epoch time: 0.92s
29 | Test | rrse: 0.0505 | corr: 0.9426 | approx epoch time: 0.86s
30 | Test | rrse: 0.0511 | corr: 0.9379 | approx epoch time: 1.07s
31 | Test | rrse: 0.0435 | corr: 0.9365 | approx epoch time: 1.07s
37 | Test | rrse: 0.0372 | corr: 0.9472 | approx epoch time: 1.05s
End of Exp 1

Exp 2
2019-11-09 18:47:46.813280
1 | Test | rrse: 0.1595 | corr: 0.8667 | approx epoch time: 4.73s
2 | Test | rrse: 0.1056 | corr: 0.8752 | approx epoch time: 1.00s
3 | Test | rrse: 0.0690 | corr: 0.9218 | approx epoch time: 1.02s
5 | Test | rrse: 0.0499 | corr: 0.9196 | approx epoch time: 0.91s
7 | Test | rrse: 0.0449 | corr: 0.9153 | approx epoch time: 1.04s
8 | Test | rrse: 0.0432 | corr: 0.9308 | approx epoch time: 1.01s
9 | Test | rrse: 0.0386 | corr: 0.9288 | approx epoch time: 1.02s
17 | Test | rrse: 0.0351 | corr: 0.9178 | approx epoch time: 0.92s
21 | Test | rrse: 0.0361 | corr: 0.9185 | approx epoch time: 0.96s
26 | Test | rrse: 0.0327 | corr: 0.9217 | approx epoch time: 0.95s
27 | Test | rrse: 0.0328 | corr: 0.9223 | approx epoch time: 0.86s
31 | Test | rrse: 0.0318 | corr: 0.9220 | approx epoch time: 1.05s
35 | Test | rrse: 0.0333 | corr: 0.9242 | approx epoch time: 0.85s
42 | Test | rrse: 0.0338 | corr: 0.9262 | approx epoch time: 0.98s
46 | Test | rrse: 0.0341 | corr: 0.9263 | approx epoch time: 0.89s
47 | Test | rrse: 0.0332 | corr: 0.9263 | approx epoch time: 1.04s
50 | Test | rrse: 0.0332 | corr: 0.9264 | approx epoch time: 0.99s
53 | Test | rrse: 0.0338 | corr: 0.9275 | approx epoch time: 1.00s
54 | Test | rrse: 0.0333 | corr: 0.9269 | approx epoch time: 0.94s
