,0,1,2,3,4,5,6,7,8,9,10,Occur Time
205,1,1,0,0,0,0,1,0,0,0,0,20190720
206,0,0,0,0,0,5,0,0,0,0,0,20190721
207,0,0,0,1,0,0,2,0,0,1,0,20190722
208,0,0,0,0,0,1,3,0,0,1,0,20190723
209,0,0,0,0,0,2,1,0,0,3,0,20190724
210,0,0,1,0,0,4,0,0,0,0,0,20190725
211,0,1,0,0,0,1,0,0,0,2,0,20190726
212,0,1,0,0,0,1,0,0,1,0,0,20190727
213,0,0,0,0,0,2,4,0,0,0,0,20190728
214,0,0,0,0,0,3,1,0,0,0,0,20190729
215,0,0,0,0,0,1,4,0,0,0,0,20190730
216,0,0,0,0,0,3,4,0,0,0,0,20190731
217,0,0,1,1,0,4,0,0,0,0,0,20190801
218,0,0,0,0,0,2,2,0,0,0,0,20190802
219,0,0,0,0,0,4,1,0,0,0,0,20190803
220,0,0,0,0,0,3,1,0,0,0,0,20190804
221,1,0,0,0,0,4,1,0,0,0,0,20190805
222,0,0,0,0,0,0,1,0,0,1,0,20190806
223,0,2,0,0,0,2,0,0,0,0,0,20190807
224,0,11,0,1,0,6,2,0,0,0,0,20190808
225,0,0,0,0,0,1,1,0,0,0,0,20190809
226,1,2,0,0,0,13,1,0,0,0,0,20190810
227,1,0,0,0,0,3,3,0,0,1,0,20190811
228,0,0,0,0,0,3,1,0,0,0,0,20190812
229,0,0,0,0,0,2,3,0,0,0,0,20190813
230,0,0,0,0,0,4,2,0,0,0,0,20190814
231,1,1,0,0,0,2,1,0,0,0,0,20190815
232,0,1,0,0,0,1,1,0,0,0,1,20190816
233,1,1,0,0,0,0,1,0,0,0,0,20190817
234,0,0,0,0,0,6,1,0,0,1,0,20190818
235,0,0,0,0,0,0,0,0,0,0,0,20190819
236,0,0,0,0,0,1,0,0,0,0,0,20190820
237,0,2,0,0,0,2,1,0,0,0,0,20190821
238,0,1,0,0,0,2,1,0,0,0,0,20190822
239,0,1,0,0,0,1,3,0,0,0,0,20190823
240,0,0,0,0,0,1,1,0,0,0,0,20190824
241,0,0,0,0,0,1,1,0,0,0,0,20190825
242,0,1,1,0,0,1,1,0,0,0,0,20190826
243,0,0,0,0,0,3,1,0,0,0,0,20190827
244,1,13,0,0,0,4,2,0,0,0,0,20190828
